protein id,location
AT5G10240.1,cytosol
AT5G10540.1,cytosol
AT5G10870.1,cytosol
AT5G11340.1,cytosol
AT5G11670.1,cytosol
AT5G12210.1,cytosol
AT5G12320.1,cytosol
AT5G13370.1,cytosol
AT5G13570.1,cytosol
AT5G15770.1,cytosol
AT5G16050.1,cytosol
AT5G16760.1,cytosol
AT5G16970.1,cytosol
AT5G17000.1,cytosol
AT5G17310.2,cytosol
AT5G17330.1,cytosol
AT5G18940.1,cytosol
AT5G19440.1,cytosol
AT5G20400.1,cytosol
AT5G24260.1,cytosol
AT5G27450.1,cytosol
AT5G27470.1,cytosol
AT5G28840.1,cytosol
AT5G28850.1,cytosol
AT5G35700.1,cytosol
AT5G36160.1,cytosol
AT5G37600.1,cytosol
AT5G37830.1,cytosol
AT5G38480.1,cytosol
AT5G38830.1,cytosol
AT5G39050.1,cytosol
AT5G39730.1,cytosol
AT5G42740.1,cytosol
AT5G43830.1,cytosol
AT5G43940.1,cytosol
AT5G45020.1,cytosol
AT5G47770.1,cytosol
AT5G48180.1,cytosol
AT5G48230.1,cytosol
AT5G48840.1,cytosol
AT5G49650.1,cytosol
AT5G49810.1,cytosol
AT5G51830.1,cytosol
AT5G51970.1,cytosol
AT5G52560.1,cytosol
AT5G52640.1,cytosol
AT5G53400.1,cytosol
AT5G56260.1,cytosol
AT5G56600.1,cytosol
AT5G56680.1,cytosol
AT5G57330.1,cytosol
AT5G59420.1,cytosol
AT5G62930.1,cytosol
AT5G63220.1,cytosol
AT5G64370.1,cytosol
AT5G64460.2,cytosol
AT5G47120.1,ER
AT5G35080.1,ER
AT4G37640.1,ER
AT5G42020.3,ER
AT2G32440.1,ER
AT3G51460.1,ER
AT3G54960.1,ER
AT2G01470.1,ER
AT1G67490.1,ER
AT5G48810.1,ER
AT2G03120.1,ER
AT4G34640.1,ER
AT5G08335.1,ER
AT1G27980.1,ER
AT1G08450.1,ER
AT1G09210.1,ER
AT1G21750.1,ER
AT1G56340.1,ER
AT4G24190.1,ER
AT5G60640.1,ER
AT2G47470.1,ER
AT5G28540.1,ER
AT5G61790.1,ER
AT2G32720.1,ER
AT4G14950.1,ER
AT1G11680.1,ER
AT1G76090.1,ER
AT4G31500.1,ER
AT2G30490.1,ER
AT2G40890.1,ER
AT1G27320.1,ER
AT3G07680.1,ER
AT1G21900.1,ER
AT1G61790.1,ER
AT2G31360.1,ER
AT2G16280.1,ER
AT4G21150.1,ER
AT1G26690.1,ER
AT5G50260.1,ER
AT2G43290.1,ER
