ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Q9M385,AT3G54210.1,0.02363,0.01255,0.04814,0.9715,0,0.02599,0.17927,1,0.00428,0.0378
A0A1I9LMI4,AT3G54230.4,0.01541,0.0115,0,0.00506,0.04622,0.21683,1,0.00069,0.00575,0.02391
F4JCU3,AT3G54250.1,0.28825,0.38957,0,0.02083,0.41575,1,0.04864,0.01647,0.38652,0.36111
Q940H3,AT3G54260.1,0.8635,0.18067,0.19949,0,0.88812,0.08581,0.19877,0.08798,0.47864,1
Q93WU4,AT3G54270.1,0.02898,0.08251,0,1,0.10026,0.27232,0.01697,0.97937,0.08355,0.08094
B5BT18,AT3G54280.1,0,0.0082,0.05611,0.06499,0.02538,0.04272,1,0.04003,0.03173,0.00557
Q8RWC0,AT3G54290.1,0.74725,0.96749,0.04299,0,1,0.44252,0.10067,0.01564,0.96749,0.97034
Q9M376,AT3G54300.1,0.28627,0.41723,0.03811,0,1,0.03509,0.05071,0.00839,0.62727,0.47246
Q9M2V1,AT3G54360.1,0.6348,0.84428,0,0.03644,1,0.63056,0.39886,0.03301,0.97516,0.7616
Q67XV2,AT3G54380.1,0.2397,0.24532,0.01373,0,0.26217,1,0.67041,0.26779,0.27341,0.25843
Q9M2U7,AT3G54400.1,0.0302,0,0.03093,0.07014,0.02825,0.05504,1,0.0716,0.00365,0.02509
F4JCX1,AT3G54440.3,0.26111,0.47048,0,0.35198,0.42411,1,0.01248,0.37966,0.41382,0.34075
Q42586,AT3G54470.1,0.48723,0.81072,0.00856,0.00344,0.79157,1,0.22245,0,0.90806,0.59218
